,name,payoff,faction,took_part
0,אביגדור ליברמן,3.345053952038944e-05,ישראל ביתינו,0.0
1,איתן כבל,4.6672007535278346e-05,המחנה הציוני,0.0
2,סופה לנדבר,0.00024154018545445273,ישראל ביתינו,0.0
3,צחי הנגבי,0.00010520759890541403,הליכוד,0.0
4,ישראל כץ,0.15056210966378866,הליכוד,0.0
5,ציפי לבני,5.697485408090638e-05,המחנה הציוני,0.0
6,איוב קרא,0.00018782370466761473,הליכוד,0.0
7,יובל שטייניץ,0.016184728018115734,הליכוד,0.0
8,סילבן שלום,4.328963273516923e-05,הליכוד,0.0
9,דוד אזולאי,6.679532280436446e-05,"ש""ס",0.0
10,יצחק וקנין,0.46602467901105016,"ש""ס",0.0
11,משולם נהרי,0.000165826848203701,"ש""ס",0.0
12,אילן גילאון,0.00043979439728550714,מרצ,0.0
13,זהבה גלאון,0.00010708833234768396,מרצ,0.0
14,מוסי רז,0.003107062222363078,מרצ,0.0
15,משה גפני,0.044967416724901156,יהדות התורה,0.0
16,יעקב ליצמן,7.408170172073424e-05,יהדות התורה,0.0
17,יולי יואל אדלשטיין,0.035351668756200515,הליכוד,0.0
18,חיים כץ,0.013104061519126966,הליכוד,0.0
19,עמיר פרץ,7.196427582141198e-05,המחנה הציוני,0.0
20,אחמד טיבי,0.07784580951801837,הרשימה המשותפת,0.0
21,מאיר פרוש,5.2957435926325014e-05,יהדות התורה,0.0
22,יצחק כהן,0.39107452798769343,"ש""ס",0.0
23,אורי אריאל,0.5560384980057792,הבית היהודי,0.0
24,בנימין נתניהו,3.337632732618697e-05,הליכוד,0.0
25,גילה גמליאל,0.00016107653245751622,הליכוד,0.0
26,משה כחלון,3.343547159121893e-05,כולנו,0.0
27,גלעד ארדן,0.7637433806343089,הליכוד,0.0
28,יצחק הרצוג,4.3268421677862434e-05,המחנה הציוני,0.0
29,יעקב מרגי,0.8570876793524602,"ש""ס",0.0
30,ישראל אייכלר,0.47292401977438214,יהדות התורה,0.0
31,ג`מאל זחאלקה,0.00013646611451200705,הרשימה המשותפת,0.0
32,ניסן סלומינסקי,3.5027130166467816e-05,הבית היהודי,0.0
33,זאב בנימין בגין,6.658871116716308e-05,הליכוד,0.0
34,אריה דרעי,3.3438290198828795e-05,"ש""ס",0.0
35,יואל חסון,0.37322042923562593,המחנה הציוני,0.0
36,אברהם דיכטר,3.330991289068608e-05,הליכוד,0.0
37,זאב אלקין,3.332169104197536e-05,הליכוד,0.0
38,שלי יחימוביץ`,0.00012668518055494195,המחנה הציוני,0.0
39,רוברט אילטוב,3.80205827469052e-05,ישראל ביתינו,0.0
40,דב חנין,0.14253106329968654,הרשימה המשותפת,0.0
41,יחיאל (חיליק) בר,0.9132249602966666,המחנה הציוני,8.54032930112385e-228
42,אלעזר שטרן,3.3459000591515246e-05,יש עתיד,0.0
43,אורי מקלב,0.0002312915092480208,יהדות התורה,3.001476649228149e-216
44,אופיר אקוניס,3.676939750146172e-05,הליכוד,1.4947728297484533e-208
45,חמד עמאר,0.4610466421351287,ישראל ביתינו,5.2533405636816474e-197
46,דני דנון,3.3451556665595606e-05,הליכוד,0.0
47,מסעוד גנאים,0.0031775905692380804,הרשימה המשותפת,9.194669925284426e-178
48,ציפי חוטובלי,6.67152855386582e-05,הליכוד,6.48775909928069e-174
49,יריב לוין,0.00016551709505560166,הליכוד,9.194669925258265e-178
50,אורלי לוי אבקסיס,6.563898285132407e-05,ישראל ביתינו,4.578411596362383e-170
51,מנחם אליעזר מוזס,0.07106998315442675,יהדות התורה,2.2804292578556606e-162
52,מירי רגב,3.3334979766410164e-05,הליכוד,1.1356822529735495e-154
53,נחמן שי,0.16518372205983606,המחנה הציוני,1.4027411989735373e-131
54,משה יעלון,3.6550524666067964e-05,הליכוד,0.0
55,חנין זועבי,6.992350041442995e-05,הרשימה המשותפת,9.89774189995728e-128
56,אכרם חסון,0.4401281379062667,כולנו,4.578411596362383e-170
57,נפתלי בנט,0.00010862792443567795,הבית היהודי,4.9298976715983555e-120
58,איילת שקד,6.668937329622935e-05,הבית היהודי,3.478535797089697e-116
59,אלי בן-דהן,0.14294872100502284,הבית היהודי,1.2226956710403736e-104
60,מרדכי יוגב,3.3311726470685874e-05,הבית היהודי,0.0
61,שולי מועלם-רפאלי,3.331412368684674e-05,הבית היהודי,3.949951650009604e-270
62,דוד ביטן,0.3731554063483643,הליכוד,3.0324862777535555e-89
63,יוליה מלינובסקי,5.070940872043829e-05,ישראל ביתינו,0.0
64,דוד אמסלם,6.660506359921349e-05,הליכוד,0.0
65,מרב מיכאלי,0.12694306429203106,המחנה הציוני,2.8166786957707438e-139
66,סתיו שפיר,0.00021035159323908555,המחנה הציוני,1.5102160117500186e-81
67,אראל מרגלית,3.345370890431029e-05,המחנה הציוני,0.0
68,איציק שמולי,0.5910083805964724,המחנה הציוני,2.6432586759570255e-62
69,מיקי רוזנטל,7.527807901321603e-05,המחנה הציוני,4.296523401617721e-93
70,מיכל בירן,0.29288153066231776,המחנה הציוני,3.949951650009604e-270
71,דניאל עטר,3.345031917585946e-05,המחנה הציוני,0.0
72,יוסי יונה,0.000102348828973805,המחנה הציוני,2.81667869576273e-139
73,אלעזר שטרן,0.00010042866355595944,יש עתיד,4.252587969633867e-220
74,יאיר לפיד,7.722079233526738e-05,יש עתיד,0.0
75,שי פירון,0.00011975613720373571,יש עתיד,1.0656084392910689e-77
76,יעל גרמן,0.08437049334465652,יש עתיד,1.0656084392880365e-77
77,מאיר כהן,0.9156187553884498,יש עתיד,1.6259253634307395e-31
78,יעקב פרי,3.347051379813643e-05,יש עתיד,0.0
79,עליזה לביא,5.823354333700315e-05,יש עתיד,3.23144290471257e-166
80,עפר שלח,3.345470144718678e-05,יש עתיד,0.0
81,יואל רזבוזוב,4.652672456580283e-05,יש עתיד,4.296523401617721e-93
82,קארין אלהרר,3.348028620599457e-05,יש עתיד,3.478535797089697e-116
83,מיקי לוי,0.6266547774903657,יש עתיד,1.62569499713281e-31
84,פנינה תמנו,3.348212997788754e-05,יש עתיד,1.6256949644845254e-31
85,יעקב אשר,3.334182808162683e-05,יהדות התורה,2.4297003658752508e-239
86,טלב אבו עראר,0.5108415208631337,הרשימה המשותפת,4.252587969633867e-220
87,באסל גטאס,0.00015558439039512368,הרשימה המשותפת,4.296523401617721e-93
88,תמר זנדברג,0.2950507856980705,מרצ,0.0
89,עיסווי פריג`,0.3129495083275741,מרצ,5.714272646469211e-20
90,מיכל רוזין,0.00026372789274833327,מרצ,8.013374137888457e-151
91,עמר בר-לב,3.983479994866725e-05,המחנה הציוני,8.627340654885424e-101
92,יואב בן צור,0.4662991439012538,"ש""ס",4.0319908603217873e-16
93,ינון מגל,3.343431257630282e-05,הבית היהודי,0.0
94,בצלאל סמוטריץ`,0.9289633592093898,הבית היהודי,2.0082663052754873e-08
95,ז`קי לוי,0.00011635930114127982,הליכוד,3.032056564521626e-89
96,יואב קיש,6.672539336926336e-05,הליכוד,2.8453758929944565e-12
97,מכלוף מיקי זוהר,8.73266024847121e-05,הליכוד,2.0082663052754873e-08
98,ענת ברקו,0.4886910322260162,הליכוד,1.7325997541339752e-108
99,מנואל טרכטנברג,3.346413068564919e-05,המחנה הציוני,1.0656084392880363e-77
100,רויטל סויד דהאן,0.8698253375112429,המחנה הציוני,1.0657594394919883e-77
101,זוהיר בהלול,6.718955609827143e-05,המחנה הציוני,0.0
102,איתן ברושי,0.24006714754385175,המחנה הציוני,1.5100020395182604e-81
103,קסניה סבטלובה,0.41780919599100547,המחנה הציוני,5.713462915346674e-20
104,איילת נחמיאס ורבין,0.08409768938795767,המחנה הציוני,1.6259253634261128e-31
105,איימן עודה,0.0006113429414119913,הרשימה המשותפת,1.5100020395182604e-81
106,עאידה תומא סלימאן,0.0003297529988389188,הרשימה המשותפת,5.713462915346674e-20
107,עבד אל חכים חאג` יחיא,0.31269137988146306,הרשימה המשותפת,2.0082663052754873e-08
108,יוסף ג`בארין,0.0001118312501873107,הרשימה המשותפת,4.532235770907363e-297
109,אוסאמה סעדיה,8.732226011114218e-05,הרשימה המשותפת,1.2894087269534055e-308
110,עבדאללה אבו מערוף,0.2989299204379641,הרשימה המשותפת,1.987730195507363e-135
111,חיים ילין,0.00024271179451069243,יש עתיד,1.2225224110649603e-104
112,שרון גל,3.345297334895257e-05,ישראל ביתינו,0.0
113,יואב גלנט,6.670758310040975e-05,כולנו,6.55478710685383e-47
114,אלי אלאלוף,0.0004495625775421321,כולנו,4.296523401617721e-93
115,מיכאל אורן,3.329511265065375e-05,כולנו,0.0
116,רחל עזריה,5.7647216573663705e-05,כולנו,1.4027411989735358e-131
117,טלי פלוסקוב,0.41705980359847217,כולנו,2.8453758929944565e-12
118,יפעת שאשא ביטון,0.0003159715695992599,כולנו,1.2225224110649603e-104
119,אלי כהן,7.736442861314851e-05,כולנו,5.307615122024092e-70
120,רועי פולקמן,0.5245745655670848,כולנו,2.007981767686188e-08
121,נאוה בוקר,0.3687316459343034,הליכוד,4.031990779360148e-16
122,אברהם נגוסה,6.820509258573976e-05,הליכוד,7.443100677543882e-201
123,נורית קורן,0.5821314734776403,הליכוד,6.089177034218133e-97
124,ירון מזוז,6.664617267972943e-05,הליכוד,8.627340654885424e-101
125,אורן אסף חזן,0.4581321086129875,הליכוד,0.00014172335316329113
126,אייל בן ראובן,3.353441427357831e-05,המחנה הציוני,8.013374137888457e-151
127,מירב בן ארי,0.00014796862820004301,כולנו,4.297132319321143e-93
128,שרן השכל,0.00017104154014798946,הליכוד,3.00105133017062e-216
129,עודד פורר,0.16503764852785444,ישראל ביתינו,4.031990779360148e-16
130,כהן-פארן יעל,0.09568460333300817,המחנה הציוני,3.264365848504172e-39
131,אמיר אוחנה,0.23628996013655557,הליכוד,1.316375808494874e-54
132,יגאל גואטה,0.0737045132075882,"ש""ס",1.865083321755277e-58
133,יהודה גליק,0.4439948769888676,הליכוד,5.713463030071968e-20
134,מלכיאלי מיכאל,0.5419230384376368,"ש""ס",0.00014170327334561429
135,ג`מעה אזברגה,0.0008656433756757734,הרשימה המשותפת,2.8453758929944565e-12
136,סעיד אלחרומי,0.0954839065692146,הרשימה המשותפת,6.554787106853833e-47
137,דן סידה,0.00032121365521516987,"ש""ס",5.713462915362934e-20
138,סאלח סעד,5.0082656495462626e-05,המחנה הציוני,0.0
139,לאה פדידה,0.00010037676733175082,המחנה הציוני,6.55478710685383e-47
140,יוסף עטאונה,3.3473183790018574e-05,הרשימה המשותפת,4.878794035617964e-247
141,ואאל יונס,6.06440368362301e-05,הרשימה המשותפת,9.194669925258265e-178
142,ינון אזולאי,3.342928701790048e-05,"ש""ס",0.0
